n.;identificator;Age years;Body weight;withers height;hip height;chest depth;chest width;ilium width;sciatic tubercle width;oblique body length;oblique rear length;heart girth;metacarpus girth;backside half-girth
290;2043;5;544;134;135;70;45;54;27;177;55;196;20;71
291;353;3;446;124;123;66;35;50;26;157;51;179;19;68
292;350;3;559;132;134;74;47;54;28;168;53;208;20;72
293;1908;5;591;136;138;75;42;59;28;180;57;198;20;73
294;1913;5;712;130;139;77;53;62;29;186;58;216;22;75
295;1965;5;609;126;131;75;49;59;28;165;55;213;21;74
296;1901;5;618;135;137;75;46;62;28;174;57;209;21;74
297;46;3;450;122;129;63;45;51;26;163;49;180;19;68
298;1987;5;571;135;135;75;42;59;27;173;53;206;20;70
299;2000;5;556;131;131;74;43;56;28;170;55;207;20;70
300;227;3;577;130;131;72;46;56;28;174;54;210;20;70
301;205;5;418;123;127;67;43;52;25;152;49;190;19;67
302;1949;5;576;129;137;72;44;57;27;173;53;198;20;69
303;1924;5;578;127;132;74;47;57;27;177;54;200;20;70
304;1947;5;698;140;147;81;48;65;28;198;61;218;21;75
305;41;3;486;123;127;66;47;50;25;156;49;193;19;66
306;352;5;427;120;121;66;38;53;26;163;52;187;19;66
307;1987;5;571;130;135;70;48;55;28;171;54;200;20;71
308;1921;5;543;128;129;64;44;54;25;166;52;184;19;67
309;2031;5;631;137;138;75;46;62;28;187;59;207;21;70
310;344;3;483;128;129;69;42;50;26;163;51;188;19;65
311;321;3;413;124;125;66;43;50;25;158;52;185;19;65
312;305;3;534;128;129;70;43;57;27;179;56;200;20;73
313;2015;5;601;131;134;73;46;55;28;179;54;200;21;73
314;365;3;473;128;129;69;40;63;25;166;53;190;19;66
315;80;3;478;120;126;67;40;49;26;161;48;183;18;67
316;4120;3;448;119;120;66;44;52;26;155;43;187;18;66
317;2010;3;377;115;118;62;40;44;24;154;44;175;17;64
318;170;3;532;123;124;71;51;50;27;158;48;201;19;69
319;114;3;483;123;125;67;46;48;25;162;50;194;18;68
320;6972;3;418;122;127;65;42;48;24;160;47;181;18;66
321;4150;3;474;122;125;66;43;49;24;161;48;191;18;67
322;19763;3;393;125;127;64;37;48;23;152;49;177;17;66
323;я332;3;501;126;127;60;40;50;27;169;50;194;19;69
324;2014;3;430;126;130;62;45;45;25;147;46;185;18;67
325;я365;3;625;129;129;71;48;55;28;175;54;202;20;72
326;4154;3;488;120;124;62;41;47;25;152;44;185;18;67
327;175;3;485;120;121;66;48;47;25;161;48;190;18;68
328;я393;3;562;125;126;67;48;52;26;172;52;202;19;69
329;4102;3;425;128;128;62;42;49;24;153;50;182;18;67
330;3082;3;435;127;128;64;41;48;24;153;49;182;18;67
331;106;3;328;125;124;59;40;42;22;144;42;175;17;65
332;112;3;400;122;124;55;41;50;24;143;52;187;18;66
333;я398;3;518;123;124;67;42;52;25;159;52;196;19;69
334;я371;3;510;123;124;62;43;54;25;157;51;206;19;69
335;358;3;546;130;135;59;45;54;25;177;58;202;19;67
336;62;3;396;124;126;64;39;47;24;158;45;172;17;66
337;235;5;460;125;126;70;41;52;24;161;53;189;17;66
338;122;3;467;126;128;66;46;49;25;161;48;194;18;68
339;138;3;354;118;116;60;39;43;24;154;42;168;18;65
340;23;3;382;125;127;62;40;45;24;156;49;185;17;66
341;117;3;394;125;130;69;40;50;24;157;50;180;19;66
342;423;3;444;118;121;66;45;52;25;162;48;197;18;68
343;268;5;537;128;136;71;42;53;27;171;57;197;19;71
344;277;5;551;127;126;72;45;57;26;166;52;199;19;71
345;157;3;400;120;122;64;42;48;24;152;49;189;17;66
346;256;5;407;120;119;64;42;51;24;155;49;180;18;66
347;260;5;420;132;130;63;42;51;24;163;54;180;18;67
348;153;3;459;124;129;57;42;49;25;160;49;169;18;67
349;225;5;461;124;126;68;47;50;25;165;50;198;19;66
350;301;5;519;127;125;70;46;49;27;165;49;190;19;71
351;261;5;500;123;126;68;44;49;26;163;53;191;19;71
352;154;3;466;118;123;65;44;46;25;151;48;186;18;70
353;224;5;581;131;130;70;43;44;26;180;56;201;19;72
354;241;5;626;126;125;71;48;52;27;173;51;205;20;73
355;115;3;441;124;124;66;40;48;25;157;49;185;18;67
356;54;3;447;130;126;67;41;50;25;151;49;192;18;68
357;142;3;400;120;121;60;41;45;24;151;44;177;18;67
358;249;5;620;125;128;70;50;57;26;174;55;208;20;72
359;163;3;430;120;123;58;42;48;24;154;46;177;18;67
360;242;5;575;129;128;70;50;52;25;157;51;202;19;70
361;119;3;395;121;124;68;42;43;24;157;40;186;17;63
362;412;5;460;122;124;70;49;49;24;158;51;193;18;66
363;165;3;447;121;121;68;43;48;24;154;49;184;18;67
364;7162(0016);3;530;120;120;71;43;52;26;163;50;192;19;70
365;236;5;517;127;127;71;43;56;25;163;54;198;19;70
366;174;3;545;123;128;70;48;51;26;163;51;203;19;71
367;251;5;527;129;135;73;46;52;26;167;51;196;18;70
368;302;5;438;126;133;68;40;49;24;146;48;198;19;68
369;48;3;502;129;137;72;41;54;25;161;50;189;18;70
370;818;5;495;125;123;68;39;52;24;165;52;188;18;69
371;223;5;425;129;132;70;45;54;23;165;54;207;18;69
372;129;3;414;127;131;65;43;49;24;161;48;185;18;68
373;373;5;478;125;126;71;43;53;24;159;50;182;19;69
374;61;3;490;127;135;68;42;53;25;159;48;190;19;69
375;375;5;481;125;126;68;41;53;24;155;52;187;18;70
376;211;5;613;131;133;72;49;58;27;176;57;212;21;73
377;144;3;377;124;127;65;44;48;24;153;48;178;17;67
378;305;3;505;132;134;73;41;56;25;173;54;195;18;69
379;255;5;542;133;137;73;40;55;25;158;56;208;19;70
380;424;3;456;126;128;67;43;49;24;161;50;184;18;68
381;204;5;474;126;128;71;41;53;24;170;52;186;18;68
382;287;5;504;131;133;70;41;54;25;157;52;195;18;70
